Year,Month,Carrier,Carrier_Name,Arrival Flights,Delays,Employees,Passengers,Delays_Over_Flights,Employees_Over_Flights,Passengers_Over_Flights
2017,6,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,6,OO,SkyWest_Airlines,61567,2792,12702,3204433,0.045348969,0.206311823,52.04789904
2017,6,UA,United_Air_Lines,52015,2412,88495,9996061,0.046371239,1.701336153,192.1765068
2017,6,WN,Southwest_Airlines,115235,7917,56255,14270278,0.068703085,0.488176335,123.8363171
2017,6,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,6,YX,Republic_Airline,0,0,0,0,0,0,0
2017,5,9E,Endeavor,0,0,0,0,0,0,0
2017,5,AA,American_Airlines,77328,3991,106775,12682795,0.051611318,1.380806435,164.0129707
2017,5,AS,Alaska_Airlines,16108,547,12945,2272393,0.033958282,0.803637944,141.0723243
2017,5,B6,JetBlue_Airways,25519,2257,20029,3400616,0.088443905,0.784866178,133.2581998
2017,5,DL,Delta_Air_Lines,80742,4105,86897,12969769,0.05084095,1.076230462,160.6322484
2017,5,F9,Frontier_Airlines,8632,399,3624,1410650,0.046223355,0.419833179,163.4209917
2017,5,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,5,HA,Hawaiian_Airlines,6790,420,6338,949208,0.06185567,0.933431517,139.7949926
2017,5,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,5,NK,Spirit_Air_Lines,13405,694,6134,2036061,0.051771727,0.457590451,151.8881761
2017,5,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,5,OO,SkyWest_Airlines,58567,2198,12393,2997262,0.037529667,0.211603804,51.17663531
2017,5,UA,United_Air_Lines,49408,1883,88548,9139255,0.038111237,1.792179404,184.9752064
2017,5,WN,Southwest_Airlines,113239,6482,56040,13705990,0.057241763,0.494882505,121.0359505
2017,5,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,5,YX,Republic_Airline,0,0,0,0,0,0,0
2017,4,9E,Endeavor,0,0,0,0,0,0,0
2017,4,AA,American_Airlines,73656,3960,106329,12059664,0.053763441,1.443589117,163.7295536
2017,4,AS,Alaska_Airlines,15261,576,12878,2204200,0.037743267,0.843850337,144.4335234
2017,4,B6,JetBlue_Airways,25191,1898,19742,3452798,0.075344369,0.783692589,137.0647453
2017,4,DL,Delta_Air_Lines,77046,4693,86506,11746235,0.060911663,1.122783792,152.457428
2017,4,F9,Frontier_Airlines,7801,334,3607,1307780,0.042815024,0.462376618,167.6426099
2017,4,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,4,HA,Hawaiian_Airlines,6470,437,6264,885169,0.067542504,0.968160742,136.8112828
2017,4,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,4,NK,Spirit_Air_Lines,12544,603,6037,1943202,0.048070791,0.481265944,154.9108737
2017,4,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,4,OO,SkyWest_Airlines,56210,2495,11987,2837082,0.04438712,0.213253869,50.47290518
2017,4,UA,United_Air_Lines,45541,1876,88470,8700616,0.04119365,1.942645089,191.0501746
2017,4,WN,Southwest_Airlines,112223,5428,55761,13460665,0.048367982,0.496876754,119.9456885
2017,4,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,4,YX,Republic_Airline,0,0,0,0,0,0,0
2017,3,9E,Endeavor,0,0,0,0,0,0,0
2017,3,AA,American_Airlines,78114,4149,106451,12532952,0.053114679,1.362764677,160.4443762
2017,3,AS,Alaska_Airlines,15422,665,12671,2239093,0.043120218,0.821618467,145.1882376
2017,3,B6,JetBlue_Airways,25975,1989,19515,3479226,0.076573628,0.751299326,133.9451781
2017,3,DL,Delta_Air_Lines,79070,3048,86007,12629542,0.038548122,1.087732389,159.7260908
2017,3,F9,Frontier_Airlines,7745,367,3551,1344428,0.04738541,0.458489348,173.586572
2017,3,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,3,HA,Hawaiian_Airlines,6596,496,6234,922361,0.075197089,0.945118253,139.836416
2017,3,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,3,NK,Spirit_Air_Lines,12882,649,5965,2021105,0.050380376,0.463049216,156.8937277
2017,3,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,3,OO,SkyWest_Airlines,58100,2498,11960,2925277,0.042994836,0.205851979,50.34900172
2017,3,UA,United_Air_Lines,48497,2275,88137,8921902,0.046910118,1.817370147,183.9681217
2017,3,WN,Southwest_Airlines,115144,5107,55578,13591122,0.044353158,0.482682554,118.0358681
2017,3,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,3,YX,Republic_Airline,0,0,0,0,0,0,0
2017,2,9E,Endeavor,0,0,0,0,0,0,0
2017,2,AA,American_Airlines,67123,2822,105969,10167600,0.042042221,1.578728603,151.477139
2017,2,AS,Alaska_Airlines,13346,579,12479,1791961,0.043383785,0.935036715,134.269519
2017,2,B6,JetBlue_Airways,22511,1590,19340,2931039,0.070632135,0.859135534,130.2047443
2017,2,DL,Delta_Air_Lines,65313,2139,84692,9855304,0.032749989,1.29670969,150.8934515
2017,2,F9,Frontier_Airlines,6710,306,3491,1125621,0.045603577,0.520268256,167.7527571
2017,2,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,2,HA,Hawaiian_Airlines,5789,465,6218,812870,0.080324754,1.074106063,140.4163068
2017,2,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,2,NK,Spirit_Air_Lines,11443,405,5808,1697964,0.035392817,0.507559207,148.3845146
2017,2,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,2,OO,SkyWest_Airlines,46953,1825,12209,2314980,0.038868656,0.260025983,49.30419781
2017,2,UA,United_Air_Lines,40004,1924,87800,6997339,0.04809519,2.194780522,174.9159834
2017,2,WN,Southwest_Airlines,95741,3566,55480,10662845,0.037246321,0.579480056,111.3717738
2017,2,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,2,YX,Republic_Airline,0,0,0,0,0,0,0
2017,1,9E,Endeavor,0,0,0,0,0,0,0
2017,1,AA,American_Airlines,73132,4109,105579,11051300,0.056186074,1.443677186,151.1144232
2017,1,AS,Alaska_Airlines,14711,584,12314,1912551,0.039698185,0.837060703,130.0082251
2017,1,B6,JetBlue_Airways,24602,1955,19264,3286615,0.079465084,0.78302577,133.5913747
2017,1,DL,Delta_Air_Lines,69813,4106,84262,10396929,0.058814261,1.206967184,148.9254007
2017,1,F9,Frontier_Airlines,7760,586,3433,1212142,0.075515464,0.442396907,156.203866
2017,1,G4,Allegiant_Air,0,0,0,0,0,0,0
2017,1,HA,Hawaiian_Airlines,6276,526,6222,914299,0.083811345,0.991395793,145.6818037
2017,1,MQ,Envoy_Air,0,0,0,0,0,0,0
2017,1,NK,Spirit_Air_Lines,12570,351,5799,1768913,0.027923628,0.461336516,140.7249801
2017,1,OH,PSA_Airlines,0,0,0,0,0,0,0
2017,1,OO,SkyWest_Airlines,50146,2679,12011,2387487,0.053424002,0.2395206,47.61071671
2017,1,UA,United_Air_Lines,42403,2720,87681,7684332,0.064146405,2.067801806,181.221423
2017,1,WN,Southwest_Airlines,107785,5959,54981,11324383,0.055285986,0.510098808,105.0645544
2017,1,YV,Mesa_Airlines,0,0,0,0,0,0,0
2017,1,YX,Republic_Airline,0,0,0,0,0,0,0
2016,12,9E,Endeavor,0,0,0,0,0,0,0
2016,12,AA,American_Airlines,73802,4538,105580,11695734,0.061488849,1.430584537,158.4744858
2016,12,AS,Alaska_Airlines,14515,637,12217,2048646,0.043885636,0.84168102,141.1399242
2016,12,B6,JetBlue_Airways,24328,2212,18971,3375937,0.090924038,0.779801052,138.7675518
2016,12,DL,Delta_Air_Lines,71612,4394,84696,11211792,0.061358432,1.182706809,156.5630341
2016,12,F9,Frontier_Airlines,8171,763,3412,1246417,0.093379023,0.417574348,152.5415494
2016,12,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,12,HA,Hawaiian_Airlines,6347,496,6199,907397,0.078147156,0.976681897,142.9647077
2016,12,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,12,NK,Spirit_Air_Lines,12426,722,5756,1824005,0.058103976,0.463222276,146.7893932
2016,12,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,12,OO,SkyWest_Airlines,49628,2913,11893,2517537,0.058696703,0.239642943,50.72815749
2016,12,UA,United_Air_Lines,45718,3334,87622,8444199,0.072925325,1.916575528,184.7018461
2016,12,WN,Southwest_Airlines,110806,7435,54451,12845248,0.067099255,0.491408407,115.9255636
2016,12,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,12,YX,Republic_Airline,0,0,0,0,0,0,0
2016,11,9E,Endeavor,0,0,0,0,0,0,0
2016,11,AA,American_Airlines,71819,3032,105503,11169788,0.042217241,1.469012378,155.5269218
2016,11,AS,Alaska_Airlines,13946,417,12241,1983406,0.029901047,0.877742722,142.2204216
2016,11,B6,JetBlue_Airways,22974,1262,19171,3119857,0.054931662,0.834465047,135.799469
2016,11,DL,Delta_Air_Lines,74103,2235,84704,11317599,0.030160722,1.143057636,152.7279462
2016,11,F9,Frontier_Airlines,7707,265,3400,1249703,0.034384326,0.441157389,162.1516803
2016,11,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,11,HA,Hawaiian_Airlines,6074,314,6191,849972,0.051695752,1.01926243,139.9361212
2016,11,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,11,NK,Spirit_Air_Lines,11607,324,5638,1733558,0.02791419,0.485741363,149.3545274
2016,11,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,11,OO,SkyWest_Airlines,47286,1524,11762,2474041,0.032229413,0.248741699,52.32079262
2016,11,UA,United_Air_Lines,46082,1922,87576,8133856,0.041708259,1.900438349,176.5083113
2016,11,WN,Southwest_Airlines,106924,3921,54629,12920523,0.036670906,0.510914294,120.8383805
2016,11,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,11,YX,Republic_Airline,0,0,0,0,0,0,0
2016,10,9E,Endeavor,0,0,0,0,0,0,0
2016,10,AA,American_Airlines,75171,3433,105316,11764077,0.045669208,1.40101901,156.4975456
2016,10,AS,Alaska_Airlines,14088,342,12150,1943644,0.02427598,0.862436116,137.9645088
2016,10,B6,JetBlue_Airways,23229,1606,18957,3034721,0.069137716,0.816091954,130.6436351
2016,10,DL,Delta_Air_Lines,78967,2185,85409,12126695,0.027669786,1.081578381,153.5666164
2016,10,F9,Frontier_Airlines,8693,490,3329,1335376,0.056367192,0.3829518,153.6150926
2016,10,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,10,HA,Hawaiian_Airlines,6232,260,6109,912011,0.041720154,0.980263158,146.3432285
2016,10,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,10,NK,Spirit_Air_Lines,11503,186,5541,1699782,0.016169695,0.481700426,147.7685821
2016,10,OH,PSA_Airlines,0,0,0,0,0,0,0
2016,10,OO,SkyWest_Airlines,51015,1606,11459,2664188,0.031480937,0.22462021,52.2236205
2016,10,UA,United_Air_Lines,49951,2518,87495,8726159,0.050409401,1.751616584,174.6943805
2016,10,WN,Southwest_Airlines,108278,3944,54456,13014167,0.036424758,0.502927649,120.1921628
2016,10,YV,Mesa_Airlines,0,0,0,0,0,0,0
2016,10,YX,Republic_Airline,0,0,0,0,0,0,0
2016,9,9E,Endeavor,0,0,0,0,0,0,0
2016,9,AA,American_Airlines,72460,3634,105052,11220742,0.050151808,1.449792989,154.854292
2016,9,AS,Alaska_Airlines,13858,319,12020,1907163,0.023019195,0.867369029,137.6218069
2016,9,B6,JetBlue_Airways,22396,1309,18744,2917917,0.058447937,0.836935167,130.2874174
2016,9,DL,Delta_Air_Lines,75475,2507,85124,11604026,0.033216297,1.127843657,153.7466181
2016,9,F9,Frontier_Airlines,8646,646,3282,1306499,0.074716632,0.379597502,151.1102244
2016,9,G4,Allegiant_Air,0,0,0,0,0,0,0
2016,9,HA,Hawaiian_Airlines,6178,271,6074,863784,0.043865329,0.983166073,139.8161217
2016,9,MQ,Envoy_Air,0,0,0,0,0,0,0
2016,9,NK,Spirit_Air_Lines,11151,36,5532,1654454,0.00322841,0.496099005,148.3682181
2016,9,OH,PSA_Airlines,0,0,0,0,0,0,0
